ID,Fecha,Hora,Latitud,Longitud,Profundidad,Magnitud,Detalle,,Localidad,Mapa,Is_blank,Día Semana,Profundidad Number
1,17/09/2020,19:54:36,-33.354,-69.023,11 Km.,2.7,,,MENDOZA,mapa,TRUE,4,11 
2,17/09/2020,19:26:03,-32.829,-68.718,8 Km.,2.7,,,MENDOZA,mapa,TRUE,4,8 
3,14/09/2020,6:46:19,-34.278,-68.705,15 Km.,3.1,"II a III -San Rafael, Mendoza",,MENDOZA,mapa,FALSE,1,15 
4,13/09/2020,12:46:46,-33.367,-69.188,138 Km.,2.9,,,MENDOZA,mapa,TRUE,7,138
5,12/09/2020,0:46:30,-32.164,-68.466,84 Km.,2.5,,,MENDOZA,mapa,TRUE,6,84 
6,11/09/2020,14:50:24,-33.050,-68.954,25 Km.,2.5,,,MENDOZA,mapa,TRUE,5,25 
7,11/09/2020,11:52:28,-32.729,-69.865,119 Km.,3.4,,,MENDOZA,mapa,TRUE,5,119
8,11/09/2020,4:23:20,-33.497,-68.926,17 Km.,2.5,,,MENDOZA,mapa,TRUE,5,17 
9,10/09/2020,17:27:02,-32.685,-68.904,15 Km.,2.7,,,MENDOZA,mapa,TRUE,4,15 
10,10/09/2020,3:51:33,-32.153,-69.337,108 Km.,2.5,,,MENDOZA,mapa,TRUE,4,108
11,09/09/2020,11:15:48,-32.515,-69.678,123 Km.,3.2,,,MENDOZA,mapa,TRUE,3,123
12,08/09/2020,16:20:42,-33.325,-68.155,20 Km.,2.6,,,MENDOZA,mapa,TRUE,2,20 
13,07/09/2020,20:43:52,-32.861,-67.851,8 Km.,2.6,,,MENDOZA,mapa,TRUE,1,8 
14,07/09/2020,20:05:09,-33.613,-68.820,11 Km.,2.6,,,MENDOZA,mapa,TRUE,1,11 
15,07/09/2020,6:47:02,-34.597,-70.125,166 Km.,2.9,,,MENDOZA,mapa,TRUE,1,166
16,05/09/2020,17:52:14,-33.748,-68.942,11 Km.,3.1,"III -San Carlos, Mendoza; II a III -Pareditas, Mendoza; II a III -Ciudad de Mendoza",,MENDOZA,mapa,FALSE,6,11 
17,04/09/2020,18:29:26,-33.521,-68.396,8 Km.,3.0,,,MENDOZA,mapa,TRUE,5,8 
18,04/09/2020,9:50:56,-32.851,-69.205,9 Km.,2.6,II a III -Ciudad de Mendoza,,MENDOZA,mapa,FALSE,5,9 
19,04/09/2020,5:01:08,-33.775,-68.686,12 Km.,2.8,"II a III -San Carlos, Mendoza; II a III -Tunuyán, Mendoza",,MENDOZA,mapa,FALSE,5,12 
20,03/09/2020,19:54:29,-34.729,-68.184,9 Km.,2.7,"II a III -San Rafael, Mendoza",,MENDOZA,mapa,FALSE,4,9 
21,03/09/2020,8:08:52,-33.105,-70.027,21 Km.,2.6,,,MENDOZA,mapa,TRUE,4,21 
